DateTime,AddedIPs,RemovedIPs
1521454921,17,7
1521455521,5,0
1521456484,59,3
1521457322,3,7
1521457388,0,2
1521458521,3,2
1521459181,0,2
1521459722,5,14
1521460324,50,15
1521460930,12,4
1521462243,0,89
1521463322,4,6
1521464590,16,4
1521465721,4,28
1521466084,65,57
1521466322,0,2
1521466922,5,2
1521467522,1,5
1521468247,72,7
1521468722,10,0
1521469321,3,2
1521470164,49,99
1521470521,3,12
1521471121,4,0
1521471729,4,6
1521472321,0,1
1521472922,13,0
1521473522,3,0
1521474003,85,1
1521474122,9,0
1521474722,5,31
1521475389,8,8
1521475923,52,74
1521476521,5,31
1521477844,57,46
1521478321,3,8
1521478929,8,3
1521480005,4,81
1521480121,11,4
1521480722,11,0
1521481322,6,0
1521481922,100,0
1521482521,3,10
1521483030,2,0
1521483722,14,1
1521484321,2,11
1521484689,2,2
1521484921,1,0
1521485764,75,57
1521486190,6,22
1521486722,1,0
1521487685,5,67
1521487981,5,0
1521488521,8,0
1521489122,3,0
1521489613,76,0
1521490922,6,29
1521491764,4,84
1521492121,2,3
1521493322,1,1
1521493683,72,1
1521493922,3,5
1521494521,5,6
1521494584,14,8
1521495182,5,4
1521495604,55,13
1521495721,8,2
1521496321,4,1
1521496929,6,14
1521497524,6,125
1521498121,1,0
1521498721,1,2
1521499443,81,4
1521499922,6,0
1521500589,9,4
1521501364,1,98
1521501721,1,0
1521502322,0,3
1521502921,2,1
1521503521,4,0
1521504190,4,4
1521505204,55,89
1521505322,13,0
1521506522,4,9
1521507124,173,11
1521507721,6,0
1521507790,0,1
1521509045,98,172
1521509582,0,1
1521510122,4,1
1521511389,76,3
1521511921,0,3
1521512521,7,21
1521512883,65,0
1521513721,60,7
1521514816,25,121
1521514990,10,6
1521516122,4,5
1521516722,66,0
1521517321,4,0
1521518589,11,4
1521519121,2,5
1521519721,8,14
1521520321,28,5
1521520564,85,76
1521520921,8,0
1521521521,80,13
1521522129,2,32
1521523321,9,0
1521523922,1,12
1521524405,81,107
1521524521,5,2
1521525121,3,3
1521525790,8,11
1521526564,2,77
1521526921,6,5
1521527521,3,0
1521528121,3,1
1521528483,68,0
1521528722,3,1
1521529390,4,3
1521530521,6,9
1521531721,1,0
1521532322,62,15
1521532921,3,0
1521532930,0,1
1521533522,2,0
1521534245,6,88
1521534721,1,0
1521535321,2,0
1521536163,51,0
1521536590,5,3
1521537122,3,1
1521537721,3,0
1521538084,0,50
1521538381,1,8
1521540008,67,0
1521540190,7,6
1521540636,12,7
1521541321,1,0
1521541924,52,12
1521542521,3,4
1521543122,1,3
1521543789,10,2
1521544321,1,3
1521544803,0,91
1521544921,6,3
